true_q,AR1_a_hat,AR1_resid_std,FFT_peak_over_total,HMM_q_hat,HMM_tau_hat,Parity_acc,log_evidence
0.0,0.5884431070523402,0.7511409924014467,0.013157191451524877,1e-12,0.5992918084198388,1.0,-18139.33100791401
0.001,0.5720253503966651,0.7582801372499272,0.005234475062257425,0.0010618360936525489,0.6021067973761731,0.99855,-18383.31566000057
0.002,0.5762204524328064,0.755495396794795,0.002503794487815951,0.002637629698914843,0.5969384373842015,0.99515,-18401.088216314798
0.005,0.5772383650722817,0.7568093028383173,0.001891632862226685,0.004611117599651623,0.5954554127278459,0.99645,-18568.594962949544
0.01,0.5723617203382998,0.76463488729161,0.0028617186573629046,0.009380595790436319,0.5947434392623507,0.98655,-18931.039069648767
0.02,0.5497680626477389,0.7739724429954806,0.0012735032130266296,0.01970241392003432,0.5921979021206477,0.9771,-19575.469895519593
0.03,0.5434642720554947,0.7774463504695028,0.0012146125967453648,0.032397908329101735,0.5829848485514324,0.96335,-20047.471879786437
0.05,0.52056063825337,0.7920967791101813,0.001068588608243495,0.0556846225417167,0.5720696539070455,0.9401,-20842.284499877474
